,year,country_code,gdpgr,opengr
475,2003,FIN,1.9939961433410645,-0.018079135672099844
476,2004,FIN,3.9260804653167725,0.043412868696542484
477,2005,FIN,2.780543088912964,0.07939486165712806
478,2006,FIN,4.054640769958496,0.07249426186763741
479,2007,FIN,5.185363292694092,0.012084646919385378
480,2008,FIN,0.7206684947013855,0.040106910724423406
481,2009,FIN,-8.269036293029785,-0.1847218190983504
482,2010,FIN,2.992337465286255,0.07880975862610673
483,2011,FIN,2.570817708969116,0.0404800696650629
484,2012,FIN,-1.4261893033981323,0.015609592078606571
485,2013,FIN,-0.7585648894309998,-0.023532032298199668
486,2014,FIN,-0.6317314505577087,-0.039981730556014505
487,2015,FIN,0.13508297502994537,-0.025400500169155182
488,2016,FIN,2.1353931427001953,-0.007281790962286205
489,2017,FIN,,0.05181677676375318
490,1960,FRA,,
491,1961,FRA,5.121700763702393,-0.020108894255047582
492,1962,FRA,6.543034076690674,-0.05891894971350098
493,1963,FRA,6.428380966186523,0.0017726909217194997
494,1964,FRA,6.571018218994141,0.031332755276360036
495,1965,FRA,4.861592769622803,-0.004074190433419944
496,1966,FRA,5.234917163848877,0.02373773304030169
497,1967,FRA,4.9516096115112305,-0.006302331964910479
498,1968,FRA,4.415877819061279,0.01702479810518498
499,1969,FRA,7.187062740325928,0.08295192239344251
500,1970,FRA,6.087178707122803,0.08539647313813048
501,1971,FRA,5.321887969970703,0.018778794326353987
502,1972,FRA,4.600711822509766,0.014416900767785013
503,1973,FRA,6.265981197357178,0.059609620199055025
504,1974,FRA,4.302557945251465,0.23105837996766843
505,1975,FRA,-0.9957255125045776,-0.13372510994369824
506,1976,FRA,4.298319339752197,0.07925843800266752
507,1977,FRA,3.492253065109253,0.026164227306806787
508,1978,FRA,3.9935715198516846,-0.029471918598227176
509,1979,FRA,3.521507501602173,0.040449968114791846
510,1980,FRA,1.5756568908691406,0.060171132800096006
511,1981,FRA,1.0925463438034058,0.04386558342281055
512,1982,FRA,2.447232484817505,-0.0034916696285078874
513,1983,FRA,1.275373101234436,-0.002487162001203025
514,1984,FRA,1.6591018438339233,0.05321242902332579
515,1985,FRA,1.6437678337097168,-0.01105216185409763
516,1986,FRA,2.2899675369262695,-0.1303458219569814
517,1987,FRA,2.5742509365081787,-0.014558305615339329
518,1988,FRA,4.620163917541504,0.02728729791024387
519,1989,FRA,4.483459949493408,0.06304469777170674
520,1990,FRA,2.944918632507324,-0.028765199953274534
521,1991,FRA,1.0205490589141846,0.005794170075575478
522,1992,FRA,1.4619821310043335,-0.023080155072809028
523,1993,FRA,-0.5533599853515625,-0.04968825915462649
524,1994,FRA,2.3172595500946045,0.04814219328246616
525,1995,FRA,2.1746160984039307,0.04351072436824355
526,1996,FRA,1.3675488233566284,0.015651101254567035
527,1997,FRA,2.341698169708252,0.08356245223243164
528,1998,FRA,3.558135747909546,0.030671718696326566
529,1999,FRA,3.2974894046783447,0.005133641318146864
530,2000,FRA,4.025830268859863,0.1225927896831489
531,2001,FRA,1.9707239866256714,-0.01614500212580272
532,2002,FRA,1.0733122825622559,-0.03434082304800801
533,2003,FRA,0.8547972440719604,-0.04285101641128419
534,2004,FRA,2.5898187160491943,0.022189530537032764
535,2005,FRA,1.654799222946167,0.03958978534621371
536,2006,FRA,2.530181884765625,0.03932367692088534
537,2007,FRA,2.3553194999694824,0.005655982174351815
538,2008,FRA,0.07353867590427399,0.017304626400747924
539,2009,FRA,-2.8821535110473633,-0.12081866868163527
540,2010,FRA,1.8937785625457764,0.08729936814403594
541,2011,FRA,2.109750270843506,0.07149531628665917
542,2012,FRA,0.22911012172698975,0.015503844323359273
543,2013,FRA,0.603806734085083,0.0010384901291513593
544,2014,FRA,0.9909021854400635,0.011959194204677503
545,2015,FRA,0.9793497323989868,0.021047048064288365
546,2016,FRA,1.1084262132644653,-0.010085553933827596
547,2017,FRA,,0.02842125875343071
548,1960,DEU,,
549,1961,DEU,4.715,-0.04531360059759704
550,1962,DEU,4.713,-0.008220998072752339
551,1963,DEU,2.931,0.020043788702303056
552,1964,DEU,6.422,0.011910014541770986
553,1965,DEU,5.259,0.039871316659216394
554,1966,DEU,2.89,0.01887634795820703
555,1967,DEU,-0.246,0.01124822630774247
556,1968,DEU,5.539,0.05057775199959513
557,1969,DEU,7.461,0.040276225217172223
558,1970,DEU,5.037,-0.004430621764025089
559,1971,DEU,3.012,-0.027334118064908486
560,1972,DEU,4.268,-0.0036017695397452254
561,1973,DEU,4.965,0.03156665079696608
562,1974,DEU,1.006,0.16557772972524343
563,1975,DEU,-0.892,-0.028290649838541126
564,1976,DEU,4.445,0.06860874967176112
565,1977,DEU,3.502,-0.006938157920370891
566,1978,DEU,3.106,-0.02423532212141477
567,1979,DEU,4.285,0.05499679253734824
568,1980,DEU,1.304,0.06704779367204505
569,1981,DEU,0.648,0.05563476019963853
570,1982,DEU,-0.513,0.004618520868725939
571,1983,DEU,1.467,-0.01829529392084195
572,1984,DEU,2.911,0.06120127163274969
573,1985,DEU,2.604,0.036162247095109734
574,1986,DEU,2.27,-0.10375594296088853
575,1987,DEU,1.279,-0.029227760918633106
576,1988,DEU,3.439,0.020078443186070105
577,1989,DEU,4.047,0.06324341528880195
578,1990,DEU,5.475,0.014318867875450003
579,1991,DEU,5.201,0.042603379522708096
580,1992,DEU,1.5140552520751953,-0.06096002984915949
581,1993,DEU,-0.9787774682044983,-0.0977959610228809
