country_code;iyear;region;sfi;effect;legit;seceff;secleg;poleff;polleg;ecoeff;ecoleg;soceff;socleg
BEL;2013;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2014;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2015;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2016;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2017;6;2;0;2;0;0;0;2;0;0;0;0
BEL;2018;6;2;0;2;0;0;0;2;0;0;0;0
BEN;1995;1;17;10;7;0;0;3;1;4;3;3;3
BEN;1996;1;17;10;7;0;0;3;1;4;3;3;3
BEN;1997;1;17;10;7;0;0;3;1;4;3;3;3
BEN;1998;1;17;10;7;0;0;3;1;4;3;3;3
BEN;1999;1;16;9;7;0;0;3;1;3;3;3;3
BEN;2000;1;16;9;7;0;0;3;1;3;3;3;3
BEN;2001;1;16;9;7;0;0;3;1;3;3;3;3
BEN;2002;1;16;9;7;0;0;3;1;3;3;3;3
BEN;2003;1;15;8;7;0;0;2;1;3;3;3;3
BEN;2004;1;15;8;7;0;0;2;1;3;3;3;3
BEN;2005;1;15;7;8;0;1;2;1;3;3;2;3
BEN;2006;1;12;6;6;0;1;1;0;3;3;2;2
BEN;2007;1;10;6;4;0;0;1;0;3;2;2;2
BEN;2008;1;11;6;5;0;1;1;0;3;2;2;2
BEN;2009;1;11;6;5;0;1;1;0;3;2;2;2
BEN;2010;1;10;5;5;0;1;0;0;3;2;2;2
BEN;2011;1;10;5;5;0;1;0;0;3;2;2;2
BEN;2012;1;9;5;4;0;0;0;0;3;2;2;2
BEN;2013;1;10;6;4;0;0;1;0;3;2;2;2
BEN;2014;1;10;6;4;0;0;1;0;3;2;2;2
BEN;2015;1;10;6;4;0;0;1;0;3;2;2;2
BEN;2016;1;10;6;4;0;0;1;0;3;2;2;2
BEN;2017;1;10;6;4;0;0;1;0;3;2;2;2
BEN;2018;1;10;6;4;0;0;1;0;3;2;2;2
BFO;1995;1;16;9;7;0;1;2;0;4;3;3;3
BFO;1996;1;16;9;7;0;1;2;0;4;3;3;3
BFO;1997;1;14;8;6;0;1;1;0;4;2;3;3
BFO;1998;1;14;8;6;0;1;1;0;4;2;3;3
BFO;1999;1;14;8;6;0;1;1;0;4;2;3;3
BFO;2000;1;15;9;6;0;1;2;0;4;2;3;3
BFO;2001;1;17;10;7;0;2;3;0;4;2;3;3
BFO;2002;1;15;9;6;0;1;2;0;4;2;3;3
BFO;2003;1;17;10;7;0;1;3;0;4;3;3;3
BFO;2004;1;16;10;6;0;0;3;0;4;3;3;3
BFO;2005;1;17;10;7;0;1;3;0;4;3;3;3
BFO;2006;1;17;10;7;0;1;3;0;4;3;3;3
BFO;2007;1;17;10;7;0;1;3;0;4;3;3;3
BFO;2008;1;17;10;7;0;1;3;0;4;3;3;3
BFO;2009;1;17;10;7;0;1;3;0;4;3;3;3
BFO;2010;1;17;10;7;0;1;3;0;4;3;3;3
BFO;2011;1;16;9;7;0;1;2;0;4;3;3;3
BFO;2012;1;16;9;7;0;1;2;0;4;3;3;3
BFO;2013;1;15;8;7;0;1;2;0;3;3;3;3
BFO;2014;1;14;7;7;0;1;1;0;3;3;3;3
BFO;2015;1;16;9;7;0;1;3;0;3;3;3;3
BFO;2016;1;16;9;7;0;1;3;0;3;3;3;3
BFO;2017;1;15;8;7;0;1;3;0;3;3;2;3
BFO;2018;1;16;9;7;0;1;3;0;3;3;3;3
