,growth_export_tourism,growth_import_tourism,country_code,year
101,0.18573577734668834,-0.022388398945358712,FRA,2015
102,-0.05258676816747632,0.02320336658064215,FRA,2016
103,0.08503814910750473,0.008929991592628861,FRA,2017
104,-0.04198398750244092,-0.1087937941120366,GBR,2009
105,0.09396657154504684,0.01916856925418564,GBR,2010
106,0.09468977082168806,0.010570775190180681,GBR,2011
107,0.09906045751633985,0.03514443392523159,GBR,2012
108,0.11720250263272014,0.16625398737424435,GBR,2013
109,0.059939007485444895,-0.0042653303240121065,GBR,2014
110,0.11877484829462226,0.12900747229105436,GBR,2015
111,0.07376148504897939,0.10592939174819227,GBR,2016
112,-0.13327381989200493,-0.14484392547806957,GBR,2017
113,0.10278907491897038,0.06967533962698602,GRC,2011
114,0.05702197761054317,-0.03921990700878264,GRC,2012
