country,country_code,happiness_score,year,nattacks,region_txt,fsi,country_code_2,latitude,longitude
Kyrgyzstan,KGZ,5.2860000000000005,2015,3.0,Central Asia,,KG,41.20438,74.766098
Nigeria,NGA,5.268,2015,639.0,Sub-Saharan Africa,102.5,NG,9.081999,8.675277000000001
Bhutan,BTN,5.252999999999999,2015,0.0,,78.7,BT,27.514162,90.433601
Azerbaijan,AZE,5.2120000000000015,2015,0.0,,77.3,AZ,40.143105,47.576927000000005
Pakistan,PAK,5.194,2015,1243.0,South Asia,103.0,PK,30.375321000000003,69.345116
Jordan,JOR,5.192,2015,4.0,Middle East & North Africa,76.9,JO,30.585164000000002,36.238414
Montenegro,MNE,5.192,2015,1.0,,54.2,ME,42.708678000000006,19.37439
China,CHN,5.14,2015,17.0,East Asia,76.5,CN,35.86166,104.195397
Zambia,ZMB,5.129,2015,0.0,,85.1,ZM,-13.133897,27.849332
Romania,ROU,5.124,2015,0.0,,54.2,RO,45.943160999999996,24.96676
Serbia,SRB,5.122999999999998,2015,0.0,,73.8,RS,44.016521000000004,21.005859
Portugal,PRT,5.102,2015,0.0,,29.7,PT,39.399871999999995,-8.224454
Latvia,LVA,5.098,2015,0.0,,48.5,LV,56.879635,24.603189
Philippines,PHL,5.073,2015,721.0,Southeast Asia,86.2,PH,12.879721,121.77401699999999
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
